,question,golden_answer,answer,judge,model
1599,who is the originator of the plan-do-check-act model of performance improvement,W. Edwards Deming,The Plan-Do-Check-Act (PDCA) model of performance improvement was first introduced by Dr. W. Edwards Deming in the 1950s.,True,gpt35
1600,where does stevia in the raw come from,South America,"Stevia in the Raw is made from the leaves of the stevia plant, which is native to South America. The leaves are dried and processed to make a sweetener that is 200 times sweeter than sugar.",True,gpt35
1601,who does the voice of little chef in ratatouille,Ian Holm,Lou Romano,False,gpt35
1602,who said have you no sense of decency,Joseph Nye Welch,I cannot answer this question without more context.,False,gpt35
1603,who sings the skye boat song on outlander,Bear McCreary,The Skye Boat Song is sung by Raya Yarbrough in the Outlander series.,True,gpt35
1605,who does claire from mcleods daughters end up with,Alex Ryan,Claire McLeod ends up with Alex Ryan in the series finale.,True,gpt35
1606,which is produced in plants of narora kakrapar tarapur,Atomic Power,"The Narora and Kakrapar Atomic Power Stations are located in Uttar Pradesh, India, and are two of the seven nuclear power plants owned and operated by the Nuclear Power Corporation of India (NPCIL). The Narora Atomic Power Station is a two-unit pressurized heavy water reactor (PHWR) plant with a total installed capacity of 440 MWe. The Kakrapar Atomic Power Station is a two-unit PHWR plant with a total installed capacity of 540 MWe",True,gpt35
1607,when did fender start making amps in mexico,1996,Fender began producing amps in Mexico in the early 1990s.,True,gpt35
1609,the boiling point of water is 100 degrees celsius express this in si units,100 °C,100 degrees celsius is 373.15 Kelvin.,True,gpt35
1610,known as the punk poet who used poetry in their music,John Cooper Clarke,"One of the most well-known punk poets is Patti Smith. Smith has been a major influence in the punk and alternative rock music scenes, and her work often incorporates poetry and spoken word. Her 1975 single ""Gloria"" is an example of her punk poetry in action. Other punk poets include John Cooper Clarke, Jim Carroll, and Richard Hell.",True,gpt35
1611,who sang it must have been love but its over now,Roxette,"The song ""It Must Have Been Love"" was originally recorded by Swedish pop duo Roxette.",True,gpt35
1612,where is the tibia and fibula bone located,leg,"The tibia and fibula bones are located in the lower leg. The tibia is the larger of the two bones and is located on the medial (inner) side of the leg, while the fibula is located on the lateral (outer) side.",True,gpt35
1613,who sings he thinks he'll keep her,Mary Chapin Carpenter,"The song ""He Thinks He'll Keep Her"" was written and performed by Mary Chapin Carpenter.",True,gpt35
1615,when did the eagles play in the superbowl,"February 6, 2005","The Philadelphia Eagles won their first Super Bowl in 2018, defeating the New England Patriots 41–33.",False,gpt35
1616,who starred in the film walk the line,Ginnifer Goodwin,The film stars Joaquin Phoenix and Reese Witherspoon.,True,gpt35
1617,who plays mr wilson in dennis the menace,Joseph Sherrard Kearns,Joseph Kearns played Mr. Wilson in Dennis the Menace.,True,gpt35
1618,bosnia and herzegovina croatia macedonia and slovenia all used to be parts of,Yugoslavia,Yugoslavia.,True,gpt35
1619,doric ionic and corinthian orders all refer to types of,architecture,"classical architecture. The Doric Order is the oldest and simplest of the three orders, characterized by its plain, unadorned columns. The Ionic Order is characterized by its volutes, or scrolls, at the top of the column. The Corinthian Order is the most ornate of the three orders, with its decorative capitals featuring acanthus leaves.",True,gpt35
1621,who made the first to record with the electric guitar,George Warren Barnes,"Les Paul is credited with the invention of the electric guitar and the first recordings made with it. He recorded a song called ""Lover"" in December of 1936 with Mary Ford, which is considered to be the first electric guitar recording.",False,gpt35
1622,what is the money called in south korea,won,The currency of South Korea is the South Korean won (KRW).,True,gpt35
1623,who won three stanley cups in a row,Toronto Maple Leafs,"The New York Islanders won three consecutive Stanley Cups from 1980 to 1983. The team was led by Hall of Famers Mike Bossy, Bryan Trottier, and Denis Potvin.",True,gpt35
1624,who played young monica in love and basketball,Kyla Pratt,Kyla Pratt played the role of young Monica in the movie Love & Basketball.,True,gpt35
1625,who sings the wizards of waverly place theme song,Selena Gomez,"The theme song for Wizards of Waverly Place is called ""Everything Is Not What It Seems"" and it is performed by Selena Gomez.",True,gpt35
1627,when is episode 12 of miraculous ladybug season 2 coming out,30 March 2018,"Episode 12 of Miraculous Ladybug season 2 is scheduled to air on April 13, 2018.",False,gpt35
1629,whose new political ideas of natural rights influenced the declaration of independence,Francis Hutcheson,"Thomas Jefferson's political ideas of natural rights, which were heavily influenced by the writings of John Locke, played a major role in the Declaration of Independence. Locke's ideas of natural rights included the right to life, liberty, and property, which were all included in the Declaration of Independence. Jefferson also included the idea of ""consent of the governed,"" which was a major part of Locke's political philosophy. These ideas of natural rights, as well as the concept of government being based on the",True,gpt35
1630,when was the movie the king and i made,1956,The King and I was released in 1956.,True,gpt35
1631,one piece episode 534 english dubbed release date,"February 5, 2012","One Piece Episode 534 English Dubbed will be released on August 15, 2020.",False,gpt35
1632,the world's tallest jain statue is located in which state of india,Maharashtra,"?

The world's tallest Jain statue is located in the state of Gujarat in India.",False,gpt35
1633,when do dwight and angela start dating again,"In ""A.A.R.M.""","Dwight and Angela start dating again in the Season 8 episode ""The Farm"".",False,gpt35
1634,when did fortnite save the world first come out,"July 25, 2017","Fortnite Save the World was first released on July 25, 2017.",True,gpt35
1635,who won battle of the sexes tennis game,Billie Jean King,The Battle of the Sexes tennis match was a 1973 exhibition match between Billie Jean King and Bobby Riggs. Billie Jean King won the match.,True,gpt35
1636,the most important battles in the revolutionary war,Philadelphia campaign,"1. Battle of Bunker Hill (June 17, 1775)
2. Battle of Saratoga (September 19-October 17, 1777)
3. Battle of Trenton (December 26, 1776)
4. Battle of Cowpens (January 17, 1781)
5. Battle of Yorktown (October 19, 1781)
6. Battle of Princeton (January 3, 1777)
7. Battle of Long Island (August 27,",True,gpt35
1637,what is the first line of an http request to the server,A request line,GET / HTTP/1.1,False,gpt35
1638,who plays harley quinn in the lego batman movie,Jenny Slate,Rosario Dawson voices Harley Quinn in The Lego Batman Movie.,False,gpt35
1639,who is the actress who plays baker on blue bloods,Abigail Hawk,Bridget Moynahan plays Baker on Blue Bloods.,False,gpt35
1640,where is the villa in call me by your name,Moscazzano,"The villa in Call Me by Your Name is located in Lombardy, Italy.",False,gpt35
1641,what are the five compulsory prayers in islam,Asr,"1. Fajr: The Dawn Prayer 
2. Dhuhr: The Noon Prayer 
3. Asr: The Afternoon Prayer 
4. Maghrib: The Sunset Prayer 
5. Isha: The Night Prayer",True,gpt35
1642,when does agents of shield season five start,"December 1, 2017","Agents of Shield Season 5 will premiere on Friday, December 1st, 2017.",True,gpt35
1643,who is the premier of northern cape 2018,Sylvia Lucas,The Premier of the Northern Cape in 2018 was Sylvia Lucas.,True,gpt35
1644,what are the monomer building blocks of dna and rna,Nucleotides,"The monomer building blocks of DNA are deoxyribonucleotides, which consist of a deoxyribose sugar, a phosphate group, and one of four nitrogenous bases (adenine, guanine, cytosine, or thymine). The monomer building blocks of RNA are ribonucleotides, which consist of a ribose sugar, a phosphate group, and one of four nitrogenous bases (adenine, guanine, cytosine,",True,gpt35
1645,university of michigan school of public health ranking,#4,"The University of Michigan School of Public Health is consistently ranked as one of the top public health schools in the nation. According to U.S. News and World Report, the school is currently ranked #2 among public health schools in the United States, and #7 among all public and private health schools.",False,gpt35
1646,who sings you are a magnet and i am steel,Walter Egan,"The song ""You Are a Magnet and I Am Steel"" is performed by the British indie rock band The Wombats.",False,gpt35
1647,which was the first village of karnataka which declared independence,Hyderabad,"The first village in Karnataka to declare independence was Yargol, located in the district of Davanagere. The village declared independence in 1817, led by the local leader, Sangolli Rayanna.",False,gpt35
1648,who wrote i can feel at home in this world anymore,Macon Blair,"The song ""I Can't Feel at Home in This World Anymore"" was written by American singer-songwriter Woody Guthrie.",False,gpt35
1649,where are antibodies made and by what type of lymphocyte,B cells,"Antibodies are made by B cells, a type of lymphocyte. B cells are a type of white blood cell that are found in the lymphatic system.",True,gpt35
1650,explorer who led an early voyage to the coast of newfoundland,Jacques Cartier,John Cabot (Giovanni Caboto) was an Italian explorer and navigator who led an early voyage to the coast of Newfoundland in 1497.,False,gpt35
1651,where does the journey start in the canterbury tales,London,"The journey starts in the Tabard Inn in Southwark, London.",True,gpt35
1652,when did the flash first appear on arrow,second season,"The Flash first appeared in the Arrow episode titled ""The Scientist"" which aired on December 4, 2013.",False,gpt35
1653,where is the world's largest thermometer located,"Baker, California, USA","The world's largest thermometer is located in Baker, California, USA. It stands at 134 feet tall and is visible from Interstate 15.",True,gpt35
1654,where did the french immigrants settle in texas,1685,"The French immigrants settled mainly in the Gulf Coast region of Texas, including the cities of Galveston, Houston, and New Orleans. They also settled in areas such as San Antonio, Austin, and Dallas.",True,gpt35
1655,the complete collection of dna and genes is called,genome,"the genome

The genome is the complete set of genetic material (DNA or RNA) of an organism. It includes both the genes (the coding regions) and the non-coding DNA sequences of the chromosome. Genomes vary widely in size and complexity, from the single circular chromosome of a bacterium to the highly complex chromosomes of humans.",True,gpt35
1657,how many seasons of the smurfs are there,9,There are a total of nine seasons of The Smurfs.,True,gpt35
1658,when does sloan come into grey's anatomy,season two,"Sloan Riley (played by Eric Dane) first appears in the Season 2 episode ""Bring the Pain"" and becomes a series regular in Season 3.",True,gpt35
1659,who does the voice of nelson on simpsons,nullcy Jean Cartwright,The voice of Nelson Muntz on The Simpsons is provided by actor and comedian nullcy Cartwright.,True,gpt35
1662,the duluth model is an intervention program that emphasizes,re-education,"the empowerment of victims of domestic violence and the accountability of abusers. It is based on the belief that domestic violence is a pattern of coercive control, and that it is the responsibility of the abuser to stop the abuse. The model focuses on the need for victim safety and accountability of the abuser. It includes a variety of interventions, including education, group counseling, and legal advocacy. It also encourages victims to take responsibility for their safety, and to seek help from community resources.",True,gpt35
1663,who has said that caste is a closed class,Frederik Barth,"system

The Indian Constitution's founding fathers, including Mahatma Gandhi, Jawaharlal Nehru, and B.R. Ambedkar, have all stated that caste is a closed class system. Additionally, many Indian scholars, such as M.N. Srinivas and G.S. Ghurye, have written extensively on the subject.",False,gpt35
1664,where did the battle of issus take place,southern Anatolia,"The Battle of Issus took place in 333 BC near the ancient town of Issus, located in what is now modern-day Turkey.",False,gpt35
1665,what land mass was north america a part of about 300 million years ago,Pangaea,North America was part of the supercontinent Pangaea about 300 million years ago.,True,gpt35
1666,when does the new adventure time come out,"April 21, 2017",The new season of Adventure Time is currently in production and is expected to premiere sometime in 2021.,False,gpt35
1667,who discovered cells divide to make new cells,Hugo von Mohl,The discovery that cells divide to make new cells is credited to German scientist Theodor Schwann and Matthias Jakob Schleiden in 1839.,False,gpt35
1668,how old is baby in dirty dancing movie,17-year-old,"The lead characters in the movie Dirty Dancing are Frances ""Baby"" Houseman (played by Jennifer Grey) and Johnny Castle (played by Patrick Swayze). Baby is 17 years old in the movie.",True,gpt35
1669,when will miraculous ladybug season 2 episode 12 come out,30 March 2018,The release date for Miraculous Ladybug season 2 episode 12 has not yet been announced.,False,gpt35
1670,during the great depression in the 1930s the u.s. economy experienced a,economic recession,"severe decline. The stock market crash of 1929 marked the beginning of the economic downturn and unemployment rose to unprecedented levels. The government responded to the crisis by introducing a range of policies and programs, including the New Deal, which provided relief to those affected by the depression. It also implemented banking reforms, such as the Glass-Steagall Act, and created new social programs, such as Social Security. Other measures included increased public works spending, agricultural subsidies, and the establishment of the Securities and Exchange Commission.",True,gpt35
1671,who wrote the song oh lord won't you buy me a mercedes benz,Janis Joplin,"The song ""Oh Lord Won't You Buy Me a Mercedes Benz"" was written by Janis Joplin.",True,gpt35
1672,when did the wave hill walk off end,16 August 1975,"The Wave Hill Walk Off ended on August 16, 1966.",False,gpt35
1673,when was the first epistle of john written,AD 95–110,The first epistle of John was likely written around 85-95 AD.,False,gpt35
1674,who was the inventor who developed a way to record sound,Thomas Edison,The inventor who developed a way to record sound was Thomas Edison. He developed the phonograph in 1877.,True,gpt35
1675,what is the function of the pericardial sac,Lubricates the heart,"The pericardial sac is a double-walled sac that surrounds the heart and the roots of the great vessels. It contains a small amount of fluid that acts as a lubricant and shock absorber for the heart. The sac also helps to anchor the heart in the thoracic cavity, protecting it from any external forces.",True,gpt35
1676,who helped them recapture mycenae once they were old enough to fight,Aegisthus,"The Greek heroes Agamemnon, Menelaus, and Odysseus, with the assistance of the goddess Athena, led the Greeks in the successful recapture of Mycenae.",False,gpt35
1677,who said i'll gladly pay you tuesday,Wimpy,"for a hamburger today

This line is a quote from the movie Popeye (1980). It is said by Popeye the Sailor Man.",False,gpt35
1678,when was 13 reasons why released on netflix,"March 31, 2017","13 Reasons Why was released on Netflix on March 31, 2017.",True,gpt35
1679,what's the biggest country in western europe,Russia*,"The largest country in Western Europe is France, with an area of 640,679 square kilometers (247,368 square miles).",True,gpt35
1681,the rule of the three rightly guided caliphs was called,Rashidun,"the ""Rightly Guided Caliphate."" This was a period of Islamic history that began with the election of the first caliph, Abu Bakr, and lasted until the death of the third caliph, Ali. During this period, the Islamic empire expanded rapidly, and the Islamic faith spread throughout the Middle East and beyond. The caliphs during this period sought to create a unified Islamic state and to promote Islamic values. They also worked to ensure justice and equality for all Muslims.",False,gpt35
1682,how long is a whale shark in meters,12.65 m,The average length of a whale shark is between 6 and 12 meters (20 to 40 feet).,False,gpt35
1683,yeh hai mohabbatein serial star cast real name,Divyanka Tripathi and Karan Patel,"The main cast of Yeh Hai Mohabbatein is:

1. Divyanka Tripathi as Dr. Ishita Bhalla
2. Karan Patel as Raman Kumar Bhalla
3. Anita Hassanulldani as Shagun Arora
4. Ruhanika Dhawan as Ruhi Bhalla
5. Aditi Bhatia as Pihu Bhalla
6. Aly Goni as Romi Bhalla
7. Krishna Mukher",True,gpt35
1684,who was the girl in the video brenda got a baby,"Ethel ""Edy"" Proctor",The girl in the video was played by actress Vanessa Bell Calloway.,False,gpt35
1685,itai-itai disease was a form of poisoning associated with ingestion of,cadmium,"cadmium-contaminated water in Japan. It was first recognized in the 1950s and is characterized by severe pain in the bones and joints, as well as general weakness and fatigue. It is thought to be caused by long-term exposure to cadmium, which is a heavy metal found in industrial waste and certain fertilizers. The disease is now rare, due to measures taken to reduce cadmium contamination in the environment.",True,gpt35
1686,who did the minnesota vikings lose to in the super bowl,Pittsburgh Steelers,The Minnesota Vikings lost to the Kansas City Chiefs in Super Bowl LIV (54).,True,gpt35
1687,who are considered to be the founding fathers,George Washington,"of the United States

The Founding Fathers of the United States of America are George Washington, John Adams, Thomas Jefferson, James Madison, Alexander Hamilton, Benjamin Franklin, and John Jay.",True,gpt35
1688,who sings in walk hard the dewey cox story,John C. Reilly,"The song ""Walk Hard"" is performed by John C. Reilly.",True,gpt35
1689,where was when we first met netflix filmed,New Orleans,"Netflix's first original series, House of Cards, was filmed in and around Baltimore, Maryland.",False,gpt35
1690,who is the writer of a walk to remember,American writer Nicholas Sparks,The writer of A Walk to Remember is Nicholas Sparks.,True,gpt35
1691,when did they start assigning social security numbers at birth,1990,"In the United States, Social Security numbers were first assigned at birth starting in November 1936.",False,gpt35
1693,what does v sign in front of mouth mean,signify cunnilingus,"The ""V"" sign made with the index and middle fingers of one hand is a popular sign of peace and victory. It is also used to express victory or approval.",False,gpt35
1694,who supported states rights during the civil war,the Confederacy,"Many Southern politicians supported states' rights during the Civil War. These included Confederate President Jefferson Davis and Vice President Alexander Stephens, as well as Confederate General Robert E. Lee. In addition, many Southern governors, such as Joseph Brown of Georgia and Zebulon Vance of North Carolina, were vocal proponents of states' rights.",True,gpt35
1696,what album is help by the beatles on,Help!,"Help! is the fifth studio album by the English rock band the Beatles, released in August 1965.",True,gpt35
1697,in the song i drive your truck who is he talking about,his brother,He is talking about his deceased brother.,True,gpt35
1698,what is small business tax rate in canada,10.5%,The small business tax rate in Canada is 11%.,False,gpt35
1699,who plays the bad guy in the good place,Ted Danson,"The bad guy in The Good Place is Michael, played by Ted Danson.",True,gpt35
1700,what are the main sources of economic growth in the us currently,pharmaceuticals,"1. Consumer Spending: Consumer spending is one of the main drivers of economic growth in the US. Consumer spending accounts for roughly 70% of US economic activity and is driven by consumer confidence, disposable income, and consumer credit availability. 

2. Business Investment: Business investment is another major source of economic growth in the US. Business investment includes spending on new equipment, technology, and buildings, which helps businesses expand and become more efficient.

3. Government Spending: Government spending",False,gpt35
1701,who played ethel on the doris day show,Carol Worthington,The role of Ethel was played by the actress Mary Wickes.,False,gpt35
1702,who played g baby in the movie hardball,DeWayne Warren,Keanu Reeves,False,gpt35
1703,who played john coffey in the movie the green mile,Michael Clarke Duncan,Michael Clarke Duncan played John Coffey in the movie The Green Mile.,True,gpt35
1704,who wrote catch 22 (both names),Joseph Heller,Joseph Heller,True,gpt35
1705,where was the world chess tournament 2017 held,"Tbilisi, Georgia","The 2017 World Chess Championship was held in New York City, USA.",False,gpt35
1706,who votes to elect a rajya sabha memmber,state legislatures,"The Rajya Sabha members are elected by the elected members of the State Legislative Assembly. Thus, the voters for the Rajya Sabha members are the elected members of the State Legislative Assemblies.",True,gpt35
1707,when does season 8 of hawaii five o premiere,"September 29, 2017","The eighth season of Hawaii Five-O is set to premiere on September 27, 2019.",False,gpt35
1708,paul walkers cars in fast and furious list,1995 Toyota Supra,"1. 1995 Mitsubishi Eclipse GS
2. 1995 Toyota Supra
3. 1999 Nissan Skyline GT-R R34
4. 1970 Dodge Charger R/T
5. 1970 Chevrolet Chevelle SS
6. 2003 Mitsubishi Lancer Evolution VIII
7. 2006 Subaru Impreza WRX STI
8. 2009 Nissan 370Z
9. 2010 Dodge Challenger SRT8
10. 2011 Ford Mustang GT",True,gpt35
1709,who won the oscar for best actor in 1975,Art Carney,The 1975 Academy Award for Best Actor went to Jack Nicholson for his performance in One Flew Over the Cuckoo's Nest.,False,gpt35
1710,when did the first episode of that 70s show air,"August 23, 1998","The first episode of That '70s Show aired on August 23, 1998.",True,gpt35
1711,when did the book thief movie come out,"November 27, 2013","The Book Thief movie was released on November 15, 2013 in the United States.",True,gpt35
1712,when did the eagles win the super bowl,2017,"The Philadelphia Eagles won their first Super Bowl in 2018, defeating the New England Patriots 41-33 in Super Bowl LII.",False,gpt35
1714,who sang from russia with love james bond,Matt Monro,"The song ""From Russia with Love"" was performed by Matt Monro.",True,gpt35
1715,where is urinary bladder located in human body,on the pelvic floor,"The urinary bladder is located in the lower abdomen, just above and behind the pubic bone. It is a hollow, muscular organ that stores urine until it is ready to be expelled from the body.",False,gpt35
1716,architectural elements forming rib vaults eg wells cathedral,an armature of piped masonry,"1. Diagonal Ribs: These are the ribs that form the shape of the vault, and are usually curved to fit the shape of the vault.

2. Transverse Ribs: These are the ribs that run horizontally across the vault and support the diagonal ribs.

3. Bosses: These are ornamental carvings that are placed at the intersections of the ribs.

4. Webbing: This is the stonework between the ribs that helps",False,gpt35
1717,who sang gonna sit right down and write myself a letter,Fats Waller,"The song ""Gonna Sit Right Down and Write Myself a Letter"" was originally written by Fred E. Ahlert in 1935 and popularized by Fats Waller in the same year.",True,gpt35
1718,how many rooms is there in buckingham palace,775,Buckingham Palace has 775 rooms.,True,gpt35
1719,where did they get the tree for rockefeller center,"State College, PA","The tree for Rockefeller Center is sourced from a different location every year. In 2019, the tree came from Oneonta, New York.",False,gpt35
1720,who expanded the territory of china during the qing dynasty,Qianlong,"The Qianlong Emperor (1735–1796) was the fourth emperor of the Qing Dynasty and one of the most successful Chinese emperors, ruling for 60 years. During his reign, the Qing Dynasty reached its zenith, expanding its borders to incorporate Tibet, parts of Central Asia, Mongolia, parts of Burma, and large parts of what is now Vietnam, Laos and northern Korea.",True,gpt35
1721,what is the second largest country in asia,China,"The second largest country in Asia is India, with an area of 3,287,263 square kilometers (1,269,219 square miles).",False,gpt35
1722,when was the last episode of vampire diaries aired,"March 10, 2017","The final episode of The Vampire Diaries aired on March 10, 2017.",True,gpt35
1723,who played ashley on the young and the restless,Brenda Epperson,"Ashley Abbott is a fictional character from the CBS soap opera The Young and the Restless, portrayed by Eileen Davidson.",True,gpt35
1725,who is pictured on the 5000 dollar bill,James Madison,The 5000 dollar bill features a portrait of President James Madison.,True,gpt35
1727,who wrote the song balls to the wall,Deaffy,"The song ""Balls to the Wall"" was written by Udo Dirkschneider and Wolf Hoffmann of the German heavy metal band Accept.",True,gpt35
1728,who talks for belle in beauty and the beast,Julie Nathanson,Belle is voiced by Paige O'Hara in the 1991 Disney animated film Beauty and the Beast.,True,gpt35
1729,what is a coherent set of values and beliefs about public policy called,a political ideology,A coherent set of values and beliefs about public policy is called a political ideology.,True,gpt35
1730,when do liam and annie get together season 3,Holiday Madness,Liam and Annie officially got together in the season 3 finale.,False,gpt35
1731,what breed of cat has spots and stripes,tabby,The Bengal cat is a breed of domestic cat that has spots and stripes. It is a hybrid breed that is a cross between a domestic cat and an Asian leopard cat.,False,gpt35
1732,who voiced simba in the lion king 2,Matthew Broderick,Matthew Broderick,True,gpt35
1733,when did the angel of the north get built,1998,The Angel of the North was built in 1998 and opened to the public in February 1998.,True,gpt35
1734,when did mcgee became a regular on ncis,in season two,"McGee became a regular character on NCIS in the show's third season, which premiered in September 2005.",False,gpt35
1735,when was 1 john 5 7 added to the bible,the 9th century,"The exact date is unknown, but 1 John 5:7 was likely added to the Bible during the fourth century.",False,gpt35
1737,who is jojo in horton hears a who,Jesse McCartney,"Jojo is the mayor of Whoville, the tiny town living on a speck of dust in Horton's world. He is the father of 96 daughters and one son, and is the leader of the Whos. He is voiced by Steve Carell in the 2008 film adaptation of the book.",False,gpt35
1738,the part of the cytoskeleton made from the protein actin is called,Microfilaments,"the 
Actin Cytoskeleton.",False,gpt35
1739,who plays jack in battle of the sexes,Bill Pullman,Steve Carell,False,gpt35
1741,when did the royal proclamation of 1763 end,the American Revolutionary War,The Royal Proclamation of 1763 officially ended in 1783 when the Treaty of Paris was signed.,True,gpt35
1742,the tenure of the office of the lokayukt of up,eight years,The tenure of the office of the Lokayukt of Uttar Pradesh is five years.,False,gpt35
1743,when did response to state of the union start,in 1966,The first State of the Union address was given by President George Washington in 1790. Responses to the address have been given by the opposition party since the 19th century.,False,gpt35
1744,who had the most governmental power under the articles of confederation,the states,"The Articles of Confederation did not create a strong central government. Instead, it established a ""firm league of friendship"" between the thirteen states. Each state had its own government, with its own laws and regulations. The federal government had limited powers, such as the power to declare war, make treaties, and regulate foreign and interstate commerce. The federal government was also responsible for settling disputes between the states. The federal government did not have the power to tax, regulate commerce, or enforce laws",True,gpt35
1746,who donates a christmas tree to trafalgar square,"Oslo, Norway","Each year, the Norwegian government donates a Christmas tree to Trafalgar Square in London as a token of appreciation for the support the British gave Norway during World War II.",True,gpt35
1747,who starred in the movie on golden pond,William Lanteau,"The movie On Golden Pond starred Henry Fonda, Katharine Hepburn, and Jane Fonda.",True,gpt35
1748,isdn uses b & d channels. what is d channel use for,control and signaling information,"?

The D-channel is used for signaling and control information. It is used to set up and tear down calls, and to transmit other information such as caller ID.",True,gpt35
1749,what is the rate limiting enzyme of kreb's cycle,Isocitrate dehydrogenase,The rate-limiting enzyme of the Krebs cycle is citrate synthase.,False,gpt35
1750,when was the taj mahal built and completed,1632–53,The Taj Mahal was built between 1631 and 1648 and was completed in 1653.,True,gpt35
1751,which supreme court judge has surved in international court of justice,Dalveer Bhandari,"The first Supreme Court justice to serve in the International Court of Justice was Stephen M. Schwebel, who served from 1997 to 2000.",False,gpt35
1752,who is known as father of green revolution in india,Mankombu Sambasivan Swaminathan,"The father of the Green Revolution in India is Dr. Norman Borlaug. He is credited with introducing high-yielding varieties of wheat to India in the 1960s, which revolutionized the country's agricultural production and made India self-sufficient in food production.",False,gpt35
1753,who sing say you won't let go,James Arthur,James Arthur,True,gpt35
1754,who monitor the recovery of the location during a disaster,management team,"Disaster recovery monitoring teams typically consist of emergency management personnel, first responders, public health officials, and other government representatives. These teams are responsible for assessing the extent of damage caused by a disaster, monitoring the progress of recovery efforts, and providing assistance to affected communities. They also work to identify areas of need and coordinate resources to ensure that the recovery process is efficient and effective.",True,gpt35
1755,where does the synthesis of new dna from existing dna occurs,origins of replication,"The synthesis of new DNA from existing DNA occurs in the nucleus of a cell, during the process of DNA replication.",True,gpt35
1756,who sings gimme shelter with mick jagger,Merry Clayton,The Rolling Stones.,False,gpt35
1757,who does tony end up with on skins,Michelle,"In the original UK version of Skins, Tony ends up with his longtime girlfriend, Michelle (April Pearson).",True,gpt35
1758,who sings sugar sugar you are my candy girl,the Archies,"The song ""Sugar Sugar"" was written and performed by the band The Archies.",True,gpt35
1759,who does tyler end up with in you get me,Ali,It is not revealed who Tyler ends up with in the movie You Get Me.,False,gpt35
1760,who won the gold for the men's figure skating,Yuzuru Hanyu,"Yuzuru Hanyu of Japan won the gold medal for men's figure skating at the 2018 Winter Olympics in PyeongChang, South Korea.",True,gpt35
1761,when did the song holiday road come out,1983,"The song ""Holiday Road"" was released in 1983 as part of the soundtrack for the movie National Lampoon's Vacation.",True,gpt35
1763,when did scotland beat england in six nations,2 April 2000,"Scotland beat England in the Six Nations on February 8, 2020.",False,gpt35
1764,when did the rational dress society begin to work,1881,"The Rational Dress Society was founded in 1881 by Amelia Bloomer, a prominent American suffragette, and Elizabeth Cady Stanton, a leader in the women's rights movement. The Society was established to promote a more rational form of dress for women, which would be less restrictive and more comfortable.",True,gpt35
1765,why is the indian ocean the warmest in the world,human induced greenhouse warming,"The Indian Ocean is the warmest ocean in the world because it is located in the tropics and is surrounded by land masses on three sides, which helps to trap the sun's heat in the water. Additionally, the Indian Ocean is the only ocean that has two monsoon seasons, which further helps to warm the waters.",False,gpt35
1766,where was the film manchester by the sea filmed,Lynn,"Manchester by the Sea was filmed in Massachusetts, primarily in the towns of Manchester-by-the-Sea, Gloucester, and Beverly.",True,gpt35
1767,consist of the sum of the fixed and variable costs for any given level of production,total cost (TC),Fixed costs + Variable costs = Total Costs,True,gpt35
1768,where was thomas and the magic railroad filmed,the Isle of Man,"Thomas and the Magic Railroad was filmed in Canada, primarily in Vancouver.",True,gpt35
1769,who has access to the presidential daily briefing,National Security Advisor,"The Presidential Daily Briefing (PDB) is a daily report produced by the Central Intelligence Agency (CIA) for the president of the United States. It is typically made available to the president, the vice president, and other senior members of the executive branch, such as the National Security Advisor, the Secretaries of State and Defense, and the Director of National Intelligence.",True,gpt35
1770,what tool is available from microsoft as an alternative to the usmt for smaller migrations,Windows Easy Transfer,"Microsoft's User State Migration Tool (USMT) is a powerful tool for migrating user settings and data from one computer to another. However, for smaller migrations, Microsoft also offers the Windows Easy Transfer (WET) tool. WET is a simpler tool that is designed for smaller migrations and is available as part of Windows 7, 8, and 10.",True,gpt35
1771,who appoints the chief election commissioner of india,President of India,The President of India appoints the Chief Election Commissioner of India.,True,gpt35
1772,glycogen and amylopectin are long chains of which simple sugar(s),glucose,Glycogen and amylopectin are long chains of glucose.,True,gpt35
1773,who was the editor of the journal jugantor published in the time of swadeshi movement,Bhupendranath Dutt,The editor of the Jugantor during the Swadeshi Movement was Ashutosh Biswas.,False,gpt35
1774,when did indoor toilets become common in america,After World War I,"Indoor toilets became common in America in the late 19th century. By the 1920s, indoor plumbing was a standard feature in many American homes.",False,gpt35
1775,who wrote were going on a bear hunt,Michael Rosen,Were Going on a Bear Hunt was written by Michael Rosen and illustrated by Helen Oxenbury.,True,gpt35
1776,what is the revolution period of venus in earth years,224.7 Earth days,"The revolution period of Venus is 224.7 Earth days, which is equivalent to 0.615 Earth years.",True,gpt35
1777,who has the power to approve or veto legislation constitution,the President,"The President of the United States has the power to approve or veto legislation passed by Congress. This power is granted to the President by Article I, Section 7 of the U.S. Constitution.",True,gpt35
1778,when was the taming ofthe shrew first performed,prior to June 1592,The earliest recorded performance of The Taming of the Shrew was in 1594 at the Rose Theatre in London.,False,gpt35
1779,who is the first prime minister of france,Michel Debré,"The first Prime Minister of France was Louis-Michel le Peletier de Saint-Fargeau, who served from 1791 to 1792.",False,gpt35
